Date,Item,Value
2015-01-14,ISONE - PeakLoad,19753
2015-01-14,ISONE - Residual Oil,21216
2015-01-14,ISONE - Solar Thermal,168
2015-01-14,ISONE - Total Generation,334844
2015-01-14,ISONE - Wind,2099
2015-01-14,MISO - PeakLoad,96750
2015-01-14,NYISO - PeakLoad,23222
2015-01-14,PJM - PeakLoad,122520
2015-01-14,SPP - Coal,405540
2015-01-14,SPP - Diesel,21
2015-01-14,SPP - Hydro,3170
2015-01-14,SPP - Natural Gas,218006
2015-01-14,SPP - Nuclear Power,61018
2015-01-14,SPP - PeakLoad,32756
2015-01-14,SPP - Total Generation,700543
2015-01-14,SPP - Wind,12789
2015-01-15,AESO - PeakLoad,10823
2015-01-15,BPA - PeakLoad,8328
2015-01-15,CAISO - Biogas,4079.0
2015-01-15,CAISO - Biomass,7475.0
2015-01-15,CAISO - Geothermal Steam,25667.0
2015-01-15,CAISO - Hydro,34636.0
2015-01-15,CAISO - Nuclear Power,54383.0
2015-01-15,CAISO - PeakLoad,29588
2015-01-15,CAISO - Power Imports,202827.0
2015-01-15,CAISO - Solar PV,27446.0
2015-01-15,CAISO - Solar Thermal,1613.0
2015-01-15,CAISO - Thermal Power,243862.0
2015-01-15,CAISO - Total Generation,604502.0
2015-01-15,CAISO - Wind,2514.0
2015-01-15,ERCOT - PeakLoad,48703
2015-01-15,IESO - Biofuel,2247.0
2015-01-15,IESO - Hydro,106377.0
2015-01-15,IESO - Natural Gas,89731.0
2015-01-15,IESO - Nuclear Power,265143.0
2015-01-15,IESO - PeakLoad,20586
2015-01-15,IESO - Total Generation,502792.0
2015-01-15,IESO - Wind,39294.0
2015-01-15,ISONE - Coal,32949
2015-01-15,ISONE - Hydro,24979
2015-01-15,ISONE - Natural Gas,133250
2015-01-15,ISONE - Nuclear Power,96974
2015-01-15,ISONE - Other,19932
2015-01-15,ISONE - PeakLoad,18924
2015-01-15,ISONE - Residual Oil,6947
2015-01-15,ISONE - Solar Thermal,261
2015-01-15,ISONE - Total Generation,317011
2015-01-15,ISONE - Wind,1719
2015-01-15,MISO - PeakLoad,92905
2015-01-15,NYISO - PeakLoad,22679
2015-01-15,PJM - PeakLoad,117425
2015-01-15,SPP - Coal,383258
2015-01-15,SPP - Diesel,18
2015-01-15,SPP - Hydro,3154
2015-01-15,SPP - Natural Gas,157055
2015-01-15,SPP - Nuclear Power,61040
2015-01-15,SPP - PeakLoad,31281
2015-01-15,SPP - Total Generation,654828
2015-01-15,SPP - Wind,50304
2015-01-16,AESO - PeakLoad,10458
2015-01-16,BPA - PeakLoad,7631
2015-01-16,CAISO - Biogas,4058.0
2015-01-16,CAISO - Biomass,8166.0
