Date,Item,LNG_Bcf,Region,Pipe_Bcf
2015-08-15,Calcasieu Pass LNG Feed Gas,0.0,Louisiana,0.0
2015-08-16,Calcasieu Pass LNG Feed Gas,0.0,Louisiana,0.0
2015-08-17,Calcasieu Pass LNG Feed Gas,0.0,Louisiana,0.0
2015-08-18,Calcasieu Pass LNG Feed Gas,0.0,Louisiana,0.0
2015-08-19,Calcasieu Pass LNG Feed Gas,0.0,Louisiana,0.0
2015-08-20,Calcasieu Pass LNG Feed Gas,0.0,Louisiana,0.0
2015-08-21,Calcasieu Pass LNG Feed Gas,0.0,Louisiana,0.0
2015-08-22,Calcasieu Pass LNG Feed Gas,0.0,Louisiana,0.0
2015-08-23,Calcasieu Pass LNG Feed Gas,0.0,Louisiana,0.0
2015-08-24,Calcasieu Pass LNG Feed Gas,0.0,Louisiana,0.0
2015-08-25,Calcasieu Pass LNG Feed Gas,0.0,Louisiana,0.0
2015-08-26,Calcasieu Pass LNG Feed Gas,0.0,Louisiana,0.0
2015-08-27,Calcasieu Pass LNG Feed Gas,0.0,Louisiana,0.0
2015-08-28,Calcasieu Pass LNG Feed Gas,0.0,Louisiana,0.0
2015-08-29,Calcasieu Pass LNG Feed Gas,0.0,Louisiana,0.0
2015-08-30,Calcasieu Pass LNG Feed Gas,0.0,Louisiana,0.0
2015-08-31,Calcasieu Pass LNG Feed Gas,0.0,Louisiana,0.0
2015-09-01,Calcasieu Pass LNG Feed Gas,0.0,Louisiana,0.0
2015-09-02,Calcasieu Pass LNG Feed Gas,0.0,Louisiana,0.0
2015-09-03,Calcasieu Pass LNG Feed Gas,0.0,Louisiana,0.0
2015-09-04,Calcasieu Pass LNG Feed Gas,0.0,Louisiana,0.0
2015-09-05,Calcasieu Pass LNG Feed Gas,0.0,Louisiana,0.0
2015-09-06,Calcasieu Pass LNG Feed Gas,0.0,Louisiana,0.0
2015-09-07,Calcasieu Pass LNG Feed Gas,0.0,Louisiana,0.0
2015-09-08,Calcasieu Pass LNG Feed Gas,0.0,Louisiana,0.0
2015-09-09,Calcasieu Pass LNG Feed Gas,0.0,Louisiana,0.0
2015-09-10,Calcasieu Pass LNG Feed Gas,0.0,Louisiana,0.0
2015-09-11,Calcasieu Pass LNG Feed Gas,0.0,Louisiana,0.0
2015-09-12,Calcasieu Pass LNG Feed Gas,0.0,Louisiana,0.0
2015-09-13,Calcasieu Pass LNG Feed Gas,0.0,Louisiana,0.0
2015-09-14,Calcasieu Pass LNG Feed Gas,0.0,Louisiana,0.0
2015-09-15,Calcasieu Pass LNG Feed Gas,0.0,Louisiana,0.0
2015-09-16,Calcasieu Pass LNG Feed Gas,0.0,Louisiana,0.0
2015-09-17,Calcasieu Pass LNG Feed Gas,0.0,Louisiana,0.0
2015-09-18,Calcasieu Pass LNG Feed Gas,0.0,Louisiana,0.0
2015-09-19,Calcasieu Pass LNG Feed Gas,0.0,Louisiana,0.0
2015-09-20,Calcasieu Pass LNG Feed Gas,0.0,Louisiana,0.0
2015-09-21,Calcasieu Pass LNG Feed Gas,0.0,Louisiana,0.0
2015-09-22,Calcasieu Pass LNG Feed Gas,0.0,Louisiana,0.0
2015-09-23,Calcasieu Pass LNG Feed Gas,0.0,Louisiana,0.0
2015-09-24,Calcasieu Pass LNG Feed Gas,0.0,Louisiana,0.0
2015-09-25,Calcasieu Pass LNG Feed Gas,0.0,Louisiana,0.0
2015-09-26,Calcasieu Pass LNG Feed Gas,0.0,Louisiana,0.0
2015-09-27,Calcasieu Pass LNG Feed Gas,0.0,Louisiana,0.0
2015-09-28,Calcasieu Pass LNG Feed Gas,0.0,Louisiana,0.0
2015-09-29,Calcasieu Pass LNG Feed Gas,0.0,Louisiana,0.0
2015-09-30,Calcasieu Pass LNG Feed Gas,0.0,Louisiana,0.0
2015-10-01,Calcasieu Pass LNG Feed Gas,0.0,Louisiana,0.0
2015-10-02,Calcasieu Pass LNG Feed Gas,0.0,Louisiana,0.0
2015-10-03,Calcasieu Pass LNG Feed Gas,0.0,Louisiana,0.0
2015-10-04,Calcasieu Pass LNG Feed Gas,0.0,Louisiana,0.0
2015-10-05,Calcasieu Pass LNG Feed Gas,0.0,Louisiana,0.0
2015-10-06,Calcasieu Pass LNG Feed Gas,0.0,Louisiana,0.0
2015-10-07,Calcasieu Pass LNG Feed Gas,0.0,Louisiana,0.0
2015-10-08,Calcasieu Pass LNG Feed Gas,0.0,Louisiana,0.0
2015-10-09,Calcasieu Pass LNG Feed Gas,0.0,Louisiana,0.0
2015-10-10,Calcasieu Pass LNG Feed Gas,0.0,Louisiana,0.0
2015-10-11,Calcasieu Pass LNG Feed Gas,0.0,Louisiana,0.0
2015-10-12,Calcasieu Pass LNG Feed Gas,0.0,Louisiana,0.0
2015-10-13,Calcasieu Pass LNG Feed Gas,0.0,Louisiana,0.0
2015-10-14,Calcasieu Pass LNG Feed Gas,0.0,Louisiana,0.0
2015-10-15,Calcasieu Pass LNG Feed Gas,0.0,Louisiana,0.0
2015-10-16,Calcasieu Pass LNG Feed Gas,0.0,Louisiana,0.0
2015-10-17,Calcasieu Pass LNG Feed Gas,0.0,Louisiana,0.0
2015-10-18,Calcasieu Pass LNG Feed Gas,0.0,Louisiana,0.0
2015-10-19,Calcasieu Pass LNG Feed Gas,0.0,Louisiana,0.0
2015-10-20,Calcasieu Pass LNG Feed Gas,0.0,Louisiana,0.0
2015-10-21,Calcasieu Pass LNG Feed Gas,0.0,Louisiana,0.0
2015-10-22,Calcasieu Pass LNG Feed Gas,0.0,Louisiana,0.0
2015-10-23,Calcasieu Pass LNG Feed Gas,0.0,Louisiana,0.0
2015-10-24,Calcasieu Pass LNG Feed Gas,0.0,Louisiana,0.0
2015-10-25,Calcasieu Pass LNG Feed Gas,0.0,Louisiana,0.0
2015-10-26,Calcasieu Pass LNG Feed Gas,0.0,Louisiana,0.0
2015-10-27,Calcasieu Pass LNG Feed Gas,0.0,Louisiana,0.0
2015-10-28,Calcasieu Pass LNG Feed Gas,0.0,Louisiana,0.0
2015-10-29,Calcasieu Pass LNG Feed Gas,0.0,Louisiana,0.0
2015-10-30,Calcasieu Pass LNG Feed Gas,0.0,Louisiana,0.0
2015-10-31,Calcasieu Pass LNG Feed Gas,0.0,Louisiana,0.0
2015-11-01,Calcasieu Pass LNG Feed Gas,0.0,Louisiana,0.0
